-8	-0.662879
-7.5	-0.606959
-7	-0.551048
-6.5	-0.495175
-6	-0.4385043
-5.5	-0.3822568
-5	-0.3254271
-4.5	-0.2688187
-4	-0.2120414
-3.5	-0.1552504
-3	-0.0982499
-2.5	-0.04124584
-2	0.01560825
-1.5	0.07254166
-1	0.1296356
-0.5	0.1865818
0	0.243668
0.5	0.300871
1	0.357848
1.5	0.4140834
2	0.4700411
2.5	0.5253468
3	0.5806108
3.5	0.6349117
4	0.6884695
4.5	0.7402977
5	0.7907171
5.5	0.8443968
6	0.9080981
6.5	0.9677483
7	1.017477
7.5	1.068958
8	1.120513
8.5	1.17284
9	1.223736
9.5	1.274918
10	1.325621
10.5	1.374039
11	1.422446
11.5	1.470906
12	1.51822
