-8	-0.651006
-7.5	-0.5972515
-7	-0.542094
-6.5	-0.486693
-6	-0.4315012
-5.5	-0.3757384
-5	-0.3195955
-4.5	-0.2636034
-4	-0.20746
-3.5	-0.1514024
-3	-0.09523572
-2.5	-0.03901168
-2	0.01735543
-1.5	0.07379054
-1	0.1300986
-0.5	0.1863378
0	0.2425289
0.5	0.2982783
1	0.3540586
1.5	0.4098652
2	0.4653043
2.5	0.5200265
3	0.5733683
3.5	0.6246834
4	0.6775252
5	0.8056652
5.5	0.8646905
6	0.9105888
6.5	0.959001
7	1.008297
7.5	1.058563
8	1.10903
8.5	1.159883
9	1.209326
9.5	1.259187
10	1.306419
10.5	1.354849
11	1.401463
11.5	1.444779
12	1.485209
