-8	-0.6680111
-7.5	-0.6117021
-7	-0.5551065
-6.5	-0.4985322
-6	-0.4420466
-5.5	-0.3850196
-5	-0.3283355
-4.5	-0.2712168
-4	-0.2141332
-3.5	-0.1570629
-3	-0.09984832
-2.5	-0.04258066
-2	0.01455162
-1.5	0.07206491
-1	0.1294823
-0.5	0.1869334
0	0.2442013
0.5	0.3014664
1	0.3585018
2	0.4712368
2.5	0.5266612
3	0.5823345
3.5	0.6371421
4	0.6915732
4.5	0.7458633
5	0.7992053
5.5	0.8521797
6	0.9025411
6.5	0.9595325
7	1.022836
7.5	1.07411
8	1.126933
8.5	1.178908
9	1.231247
9.5	1.283243
10	1.333501
10.5	1.384052
11	1.43444
11.5	1.483898
12	1.531862
