-7.5	-0.5854665
-7	-0.5261819
-6.5	-0.4661843
-6	-0.4129267
-5.5	-0.3592242
-5	-0.3052422
-4.5	-0.2510507
-4	-0.1967912
-3.5	-0.1421488
-3	-0.08737998
-2.5	-0.03259393
-2	0.02216947
-1.5	0.07669382
-1	0.1305041
-0.5	0.1837649
0	0.2372995
0.5	0.2902325
1	0.3418121
1.5	0.39296
2	0.4506307
2.5	0.5189489
3	0.5921644
3.5	0.6674424
4	0.7151251
4.5	0.7630776
5	0.8096978
5.5	0.855864
6	0.9022166
7	0.9941908
7.5	1.040759
8	1.087511
8.5	1.133365
9	1.179492
9.5	1.223958
10	1.266992
10.5	1.306315
11	1.346968
11.5	1.379447
12	1.39593
